date,country,cases,deaths,popData2019,continentExp
2020-02-15,Indonesia,0.0,0.0,270625567.0,Asia
2020-02-15,Iran,0.0,0.0,82913893.0,Asia
2020-02-15,Iraq,0.0,0.0,39309789.0,Asia
2020-02-15,Ireland,0.0,0.0,4904240.0,Europe
2020-02-15,Isle of Man,0.0,0.0,84589.0,Europe
2020-02-15,Israel,0.0,0.0,8519373.0,Asia
2020-02-15,Italy,0.0,0.0,60359546.0,Europe
2020-02-15,Jamaica,0.0,0.0,2948277.0,America
2020-02-15,Japan,8.0,0.0,126860299.0,Asia
2020-02-15,Jersey,0.0,0.0,107796.0,Europe
2020-02-15,Jordan,0.0,0.0,10101697.0,Asia
2020-02-15,Kazakhstan,0.0,0.0,18551428.0,Asia
2020-02-15,Kenya,0.0,0.0,52573967.0,Africa
